transaction_tax_rate,seed,welfare,toxicity_rate,quality_gap,mean_payoff_honest,mean_payoff_opportunistic,mean_payoff_deceptive
0.0,42,11.784,0.2414,0.0944,3.211,2.462,1.051
0.0,7,11.616,0.2756,0.0887,2.905,2.221,1.436
0.0,123,12.606,0.2569,0.0801,3.079,2.568,1.451
0.05,42,8.798,0.2407,0.0627,2.857,2.496,0.356
0.05,7,12.431,0.2276,0.1846,3.044,2.496,1.064
0.05,123,9.499,0.2764,0.1389,2.529,1.964,1.085
0.1,42,7.033,0.1326,0.0925,3.028,1.68,1.169
0.1,7,9.044,0.236,0.2221,2.924,1.744,0.728
0.1,123,8.203,0.2168,0.102,3.232,1.551,0.693
0.15,42,6.615,0.1601,0.0577,3.149,1.591,0.573
0.15,7,6.682,0.107,0.2211,3.029,1.815,0.848
0.15,123,8.257,0.1962,0.1804,3.485,1.615,0.224
