path,title,word_count,headings_count,internal_links,external_links,has_meta,top_keywords
ai_economist_full_domain_contract.md,AI Economist Full Domain Contract,873,16,0,0,False,income; ---; tax; epoch; market
analysis/incoherence_scaling.md,Incoherence Scaling: Initial Experiment Artifact,114,4,0,0,False,replay; scaling; branching; incoherence; initial
api/agents.md,Agents API,395,17,0,0,False,agent; agents; types; base; type
api/core.md,Core API,418,15,0,0,False,core; swarm; options; members; usage
api/governance.md,Governance API,490,28,0,0,False,float; governance; levers; detection; mechanisms
api/index.md,API Reference,140,5,4,0,False,---; api; div; core; governance
api/metrics.md,Metrics API,384,23,0,0,False,metrics; incoherence; decision; softmetrics; soft
blog/ai-economist-gtb-simulation.md,An AI Tax Planner Learned Progressive Taxation in 20 Epochs,852,8,0,1,False,agents; tax; planner; div; honest
blog/arc-agi-3-agent-development-lessons.md,What 13 Agent Versions Taught Us About Interactive Reasoning,2076,16,1,0,False,agent; puzzle; actions; versions; game
blog/cake-splitting-entry-fee-sweep.md,The Entry Fee That Keeps Adversaries Out of the Fair Division Pool,824,9,5,0,False,fee; agents; adversarial; agent; entry
blog/cautious-reciprocator-governance-sweep.md,The Agent That Doesn't Need Governance,982,16,3,0,False,governance; ---; agents; agent; cautious
blog/claude-code-10-subagents.md,I Got Claude Code to Spin Up 10 Subagents at Once,1393,9,0,0,False,agent; subagents; agents; research; work
blog/concordia-entities-governance.md,We Gave an LLM a Goal and a Memory. Governance Held Anyway.,1264,10,1,1,False,agents; governance; concordia; interactions; llm
blog/contract-screening-separating-equilibrium.md,Costly Contracts Separate Honest Agents from Adversaries. Here's the Data.,1024,10,5,0,False,agents; mechanism; pool; truthful; auction
blog/contract-screening-sweep-10-seeds.md,Perfect Separation Holds Across 10 Seeds. The Mechanism Has Margin.,919,10,6,0,False,welfare; quality; 000; agents; pool
blog/cooperation-window-phase-transition.md,Three Turns of Forced Cooperation Eliminate Escalation Spirals,1141,14,4,0,False,cooperation; window; escalation; governance; turns
blog/cross-scenario-analysis.md,"11 Scenarios, 3 Regimes, 1 Critical Threshold",776,8,6,2,False,governance; adversarial; welfare; agents; acceptance
blog/ecosystem-collapse.md,When Agent Ecosystems Collapse,809,6,3,1,False,collapse; governance; agents; agent; ecosystems
blog/escalation-sandbox-llm-vs-scripted.md,LLMs Are More Deceptive Than Their Scripted Counterparts — and Dove-Prompted Models Still Start Wars,1747,13,3,0,False,scripted; nuclear; ---; llm; escalation
blog/evo-game-gamescape-prisoners-dilemma.md,When Replicator Dynamics Meet Soft Labels,1789,16,0,1,False,---; agents; welfare; reputation; seeds
blog/governance-mechanisms-taxonomy.md,A Taxonomy of Governance Mechanisms for Multi-Agent AI Systems,1450,9,1,0,False,agents; governance; agent; reputation; circuit
blog/governance-sweep-nuclear-rate.md,No Governance Configuration Prevents Nuclear Exchange When a Hawk Is Present,1165,9,6,0,False,governance; 100; nuclear; ---; circuit
blog/gpt-41-mini-plays-the-swarm-economy.md,GPT-4.1 Mini Plays the SWARM Economy,1377,8,2,1,False,model; reputation; bots; environment; tasks
